,NCTId,Condition,PrimaryOutcomeMeasure,PrimaryTimeFrame,SecondaryOutcomeMeasure,SecondaryTimeFrame,BaselineMeasureTitle
3,NCT04984707,Androgenetic Alopecia,Incidence of treatment-emergent adverse events (TEAE) by skin irritation assessments|Incidence of treatment-emergent adverse events (TEAE) by vital signs measurements|Incidence of treatment-emergent adverse events (TEAE) by ECG assessment|Incidence of treatment-emergent adverse events (TEAE) by clinical lab tests|Incidence of study drug related TEAEs,3 days|3 days|3 days|3 days|3 days,"AUC from time 0 and extrapolated to infinite time, total exposure(AUCinf)|AUC from time 0 to the last non-zero concentration(AUClast)|Maximum observed concentration (Cmax)|Time at which Cmax was first observed(Tmax)|half life（T½）|Apparent total systemic clearance, calculated as Dose/AUCinf(Cl/F)|Apparent volume of distribution(Vd/F)|elimination rate constant（Kel）",48 hours|48 hours|48 hours|48 hours|48 hours|48 hours|48 hours|48 hours,
4,NCT04984694,Cognitive Dysfunction|Cognitive Change|Independent Living|Quality of Life|Video Games,Cognition-Global cognition|Cognition-Global cognition|Cognition-Global cognition|Cognition-Global cognition|Cognition-Global cognition|Cognition-memory|Cognition-memory|Cognition-memory|Cognition-memory|Cognition-memory|Cognition-attention|Cognition-attention|Cognition-attention|Cognition-attention|Cognition-attention|Cognition-visual/spatial function|Cognition-visual/spatial function|Cognition-visual/spatial function|Cognition-visual/spatial function|Cognition-visual/spatial function|Cognition-executive function|Cognition-executive function|Cognition-executive function|Cognition-executive function|Cognition-executive function,At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.|At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.|At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.|At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.|At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.,Physical function-IADL|Physical function-IADL|Physical function-IADL|Physical function-IADL|Physical function-IADL|Physical function-senior fitness test (SFT)|Physical function-senior fitness test (SFT)|Physical function-senior fitness test (SFT)|Physical function-senior fitness test (SFT)|Physical function-senior fitness test (SFT)|Physical function-unipedal stance test (UST)|Physical function-unipedal stance test (UST)|Physical function-unipedal stance test (UST)|Physical function-unipedal stance test (UST)|Physical function-unipedal stance test (UST)|Psychosocial factors-Global Well-Being Scale (GWBS)|Psychosocial factors-Global Well-Being Scale (GWBS)|Psychosocial factors-Global Well-Being Scale (GWBS)|Psychosocial factors-Global Well-Being Scale (GWBS)|Psychosocial factors-Global Well-Being Scale (GWBS)|Psychosocial factors-Interpersonal Relationship Scale (IRS)|Psychosocial factors-Interpersonal Relationship Scale (IRS)|Psychosocial factors-Interpersonal Relationship Scale (IRS)|Psychosocial factors-Interpersonal Relationship Scale (IRS)|Psychosocial factors-Interpersonal Relationship Scale (IRS)|Psychosocial factors-Geriatric Depression Scale-Short Form (GDS-SF)|Psychosocial factors-Geriatric Depression Scale-Short Form (GDS-SF)|Psychosocial factors-Geriatric Depression Scale-Short Form (GDS-SF)|Psychosocial factors-Geriatric Depression Scale-Short Form (GDS-SF)|Psychosocial factors-Geriatric Depression Scale-Short Form (GDS-SF)|Quality of Life-EQ5D-Utility|Quality of Life-EQ5D-Utility|Quality of Life-EQ5D-Utility|Quality of Life-EQ5D-Utility|Quality of Life-EQ5D-Utility|Quality of Life-EQ5D-visual analogue scale|Quality of Life-EQ5D-visual analogue scale|Quality of Life-EQ5D-visual analogue scale|Quality of Life-EQ5D-visual analogue scale|Quality of Life-EQ5D-visual analogue scale,At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.|At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.|At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.|At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.|At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.|At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.|At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.|At baseline.|Immediately after intervention.|At 4 weeks after intervention.|At 12 weeks after intervention.|At 24 weeks after intervention.,
14,NCT04984564,Educational Problems,Feedback of individual fellow in training on virtual and simulator based learning.,Survey was conducted from august to july 2020. Subjects had two month period to respond.,,,
47,NCT04984135,Coronary Stenosis|Drug-coated Balloon,In-segment late lumen loss,6 months,Target lesion failure,6 months,
69,NCT04983849,"MMP8, MMP9|IL1, IL6, IL8, IL17|TNF ALFA|RANK-L|OPG|CAL|PPD|GI|FMPS|FMBS","MMP8, MMP9|IL1, IL6,IL8,IL17|TNF alfa|RANK-L|OPG",baseline - 1 week|baseline - 1 week|baseline - 1 week|baseline - 1 week|baseline - 1 week,CAL|PPD|GI|FMPS|FMBS,baseline - 1 week|baseline - 1 week|baseline - 1 week|baseline - 1 week|baseline - 1 week,
79,NCT04983719,Atypical|Myoma,Evaluation of video,day 1,,,
85,NCT04983641,Orthopedic Disorder,"Pre-visit PROMIS completion rates in orthopaedic patients receiving reminder e-mails, digital patient portal (""MyChart"") message reminders, or no messages prior to scheduled clinic visit|At-visit PROMIS completion rates in orthopaedic patients receiving reminder e-mails, digital patient portal (""MyChart"") message reminders, or no messages prior to scheduled clinic visit|Overall (Pre-visit and at-visit) PROMIS completion rates in orthopaedic patients receiving reminder e-mails, digital patient portal (""MyChart"") message reminders, or no messages prior to scheduled clinic visit",1 week|1 week|1 week,Time to pre-visit PROMIS form completion|PROMIS form completion rates according to patient demographics,1 week|1 week,
94,NCT04983524,"Post-Operative Pain, Chronic|Necrotic Pulp",post-operative pain,one week. line of 10 points,,,
99,NCT04983459,Prostatic Neoplasms|Recurrence,Detection rate per patient of PET-PSMA for the detection of biochemical recurrence.,12 months,Detection rate per region of PSMA-PET for the detection of biochemical recurrence,12 months,
105,NCT04983381,Pelvic Pain|Pelvic Floor; Relaxation,Pelvic Examination of Anxiety,6 months,,,
