Index,NCTId,Condition,Change,Reference,Variable,Timepoint,Endpoint Art
0,NCT04984707,Androgenetic Alopecia,Not Mentioned,Not Mentioned,"Irritation Assessments, Treatment-Emergent Adverse Events (Teae)",3 Days,Primary Endpoint
1,NCT04984707,Androgenetic Alopecia,Not Mentioned,Not Mentioned,Treatment-Emergent Adverse Events (Teae),3 Days,Primary Endpoint
2,NCT04984707,Androgenetic Alopecia,Not Mentioned,Not Mentioned,Treatment-Emergent Adverse Events (Teae),3 Days,Primary Endpoint
3,NCT04984707,Androgenetic Alopecia,Not Mentioned,Not Mentioned,Treatment-Emergent Adverse Events (Teae),3 Days,Primary Endpoint
4,NCT04984707,Androgenetic Alopecia,Not Mentioned,Not Mentioned,Study Drug Related Teaes,3 Days,Primary Endpoint
5,NCT04984707,Androgenetic Alopecia,Auc From,Not Mentioned,Total Exposure(Aucinf),48 Hours,Secondary Endpoint
6,NCT04984707,Androgenetic Alopecia,Auc From Time,Not Mentioned,Not Mentioned,48 Hours,Secondary Endpoint
7,NCT04984707,Androgenetic Alopecia,Maximum Observed Concentration,Not Mentioned,Not Mentioned,48 Hours,Secondary Endpoint
8,NCT04984707,Androgenetic Alopecia,Not Mentioned,Not Mentioned,Half Life（T½）,48 Hours,Secondary Endpoint
9,NCT04984707,Androgenetic Alopecia,Not Mentioned,Not Mentioned,Apparent Total Systemic Clearance,48 Hours,Secondary Endpoint
10,NCT04984707,Androgenetic Alopecia,Distribution(Vd/F),Not Mentioned,Apparent Volume,48 Hours,Secondary Endpoint
11,NCT04984707,Androgenetic Alopecia,Not Mentioned,Not Mentioned,Elimination Rate Constant（Kel）,48 Hours,Secondary Endpoint
12,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Global Cognition,At Baseline.,Primary Endpoint
13,NCT04984694,"Cognitive Dysfunction, Cognitive Change, Independent Living, Quality Of Life, Video Games",Not Mentioned,Not Mentioned,Cognition-Global Cognition,Immediately After Intervention.,Primary Endpoint
