,units,param_type
0,micro volts,Median
1,weeks of amenorrhea,Mean
2,units on a scale (%),Median
3,Antihypertensive Medications per Patient,Mean
4,miligrams per liter,Mean
5,International Units/milliliter (IU/mL),Mean
6,percentage of work time missed,Mean
7,Participant selections,Number
8,events/week,Mean
9,P. acne counts,Mean
10,Kilograms per metre square,Mean
11,Percentage of participants,Mean
12,% Symmetry,Mean
13,subject,Number
14,copies/milliliter (copies/mL),Mean
15,percentage of predicted FEV1,Mean
16,kilograms per meter squared (kg/m^2),Median
17,liters,Median
18,Percentage of Parabasal Cells,Mean
19,nighttime incontinence episodes,Mean
20,Stools/day,Mean
21,incontinent episodes per week,Mean
22,mcg/min,Mean
23,Letters,Mean
24,occurrences,Median
25,psychotic episodes,Median
26,Number of patients,Number
27,gm/dL,Median
28,percent risk for cardiac surgery,Mean
29,cells/cubic mL,Mean
30,percentage of blood volume,Mean
31,Percentage of psoriasis involvement,Mean
32,change in mOD/min at 412nm,Mean
33,sites,Median
34,kg/height in meters^2,Mean
35,percentage of saturation,Mean
36,Dollars,Mean
37,Acid Fast Bacilli/field,Median
38,Clinics,Number
39,Pressure Ulcers,Mean
40,cells /mm2,Mean
41,Kg,Median
42,Micro unit per milliliter,Mean
43,Units on a scale of 0 (low) to 12 (most),Mean
44,kg per meter squared,Median
45,percentage of participants,Number
46,units/liter,Median
47,units on scale 0-16,Mean
48,pack/years,Mean
49,percentage of BSA,Median
50,g/L,Median
51,cigarettes/day,Median
52,Units Per Millilitre (U/mL),Median
53,MET minutes per week,Mean
54,number of tender joints,Mean
55,kilograms per meter square (kg/m^2),Mean
56,fL,Mean
57,Participants,Number
58,kg per meters squared,Mean
59,BPND (Binding Potential),Mean
60,Avg # of admissions,Mean
61,kg/m2,Median
62,units per milliliter,Median
63,number of treatments,Mean
64,cm,Number
65,yr,Mean
66,percentage of JROM,Mean
67,g/DL,Mean
68,gestational age (days),Median
69,points,Mean
70,kilogram per square meter (kg/m^2),Mean
71,periodontal pocket,Mean
72,ug/L,Mean
73,grams 40% alcohol/drinking day,Mean
74,Number of Participants,Number
75,Beta value,Mean
76,No. of events,Mean
77,Medicare Case-Mix Index/year,Mean
78,seizures per day,Mean
79,pmol*h/L,Mean
80,g per cm squared,Mean
81,Correct Fixations,Mean
82,Milligram (mg)/ Deciliter (dL),Mean
83,gm/24hrs,Mean
84,Newtons,Mean
85,number of joints,Mean
86,percent platelet aggregation,Mean
87,beat/minute,Mean
88,(kg/m^2,Mean
89,Log10 IU/mL,Median
90,ml/min/1.73m2,Mean
91,Unit,Mean
92,Grade,Mean
93,nanogram/deciliter,Mean
94,Points,Median
95,percentage of CO2,Mean
96,hours),Median
97,10^3 cell per μL,Median
98,Vaginal births per participant,Mean
99,cells/uL,Mean
100,Percent words Intellegible,Mean
101,lung clearance index,Mean
102,millimeters of mercury (mm Hg),Mean
103,mmol*h/L,Mean
104,liter (L),Mean
105,Mothers' Age in years,Mean
106,HOMA-IR score,Mean
107,mg/L,Mean
108,g.m^2.h,Mean
109,Fractures,Number
110,milliliters per second (mL/sec),Mean
111,weight in kg/ height m^2,Mean
112,millimetres,Median
113,Participants,Mean
114,multiples,Mean
115,mm/h,Median
116,percentage of whole-lung clearance,Mean
117,comorbid conditions,Median
118,servings/day,Mean
119,dyn*sec/cm^5,Median
120,Days per Week,Mean
121,min,Mean
122,parotid glands,Count of Units
123,letter score,Median
124,stents,Mean
125,ng/mL,Mean
126,Nanogram per milliliter (ng/mL),Mean
127,percentage of TWPI,Mean
128,Episodes,Median
129,kg//m^2^,Mean
130,Ru/ml,Mean
131,mg protein,Median
132,tooth,Number
133,HOMA IR score,Mean
134,kilogram/ square meter,Mean
135,percentage of normal sperm cells,Mean
136,mmole/liter,Median
137,Meters (m),Mean
138,Wood Units,Mean
139,international units (IU),Mean
140,g/dl,Mean
141,degrees Farenheit,Mean
142,kg/square of m.,Mean
143,U/kg/day,Median
144,"age, years",Mean
145,cells/microliter,Geometric Mean
146,Number of CAM therapies,Mean
147,Number of episodes,Median
148,μM,Median
149,% total fatty acids,Mean
150,Units on a Scale,Mean
151,IQ points,Mean
152,Treatments,Median
153,number of previous episodes,Mean
154,percentage of glycosylated hemoglobin,Mean
155,index of beta-cell function,Median
156,hours per day,Mean
157,milligrams per deciliter,Median
158,nursing homes,Number
159,ng/mL,Geometric Mean
160,Taka,Median
161,micrograms/ml,Mean
162,intrinsic beats/minute,Mean
163,Percent Adherence,Mean
164,percentage of mineralizing surface,Mean
165,Number of joints,Mean
166,Ratio of SBP ankle/SBP arm,Mean
167,percentage of insulin regimen,Number
168,g/m^2*h,Mean
169,Scores on a scale from 1 to 5,Mean
170,MS relapses,Median
171,drinks/drinking day,Mean
172,Quality of Life Scores on a Scale,Mean
173,%Gag-specific CD40L+CD4+ T-cells,Median
174,z-score,Median
175,lbs/in^2,Mean
176,Kilogram (Kg),Mean
177,ppb,Mean
178,dyad,Count of Units
179,Scores on a scale,Mean
